fecha_emision,fecha_corte,id,producto,fe_inventario,cantidad_mb,fe_proceso,fl_atipico,cantidad_mb_lim,vlmen_fndo_ttal,ANON_CO_OSINERG,ANON_PTA_ABASTECIMIENTO
20250701,20250701,15861,G90,2025-03-17 00:00:00,0,2025-03-24 12:10:02,0,0,0,4cf95d140f,6c0c0fb3aa
20250701,20250701,15862,G Regular,2025-04-05 00:00:00,5.98,2025-04-12 12:10:02,0,5.98,0.51146,e90944ccc2,ac27e8b233
20250701,20250701,15863,G Regular,2025-04-08 00:00:00,3.927,2025-04-15 12:10:02,0,3.927,0.068,aa1f2db9b4,bd9a626c4f
20250701,20250701,15864,G Regular,2025-03-20 00:00:00,0.5,2025-03-27 12:10:01,0,0.5,0.009,ae79ee44db,1c8735200b
20250701,20250701,15865,G Regular,2025-03-21 00:00:00,245.443,2025-03-28 12:10:01,0,245.443,31.896,aef48fddb6,7cf5cc2019
20250701,20250701,15866,G Regular,2025-03-25 00:00:00,51.758,2025-04-01 12:10:02,0,51.758,0.046,3dcd3239e2,83ae64708f
20250701,20250701,15867,G Regular,2025-03-13 00:00:00,4.957,2025-03-20 12:10:02,0,4.957,0.067,aa1f2db9b4,bd9a626c4f
20250701,20250701,15868,G Regular,2025-03-22 00:00:00,6.116,2025-03-29 12:10:01,0,6.116,0.067,aa1f2db9b4,bd9a626c4f
20250701,20250701,15869,G90,2025-03-21 00:00:00,0,2025-03-28 12:10:01,0,0,0,4cf95d140f,6c0c0fb3aa
20250701,20250701,15870,G Regular,2025-03-17 00:00:00,93.321,2025-03-24 12:10:02,0,93.321,0.338,4cf95d140f,6c0c0fb3aa
20250701,20250701,15871,G Regular,2025-03-20 00:00:00,53.231,2025-03-27 12:10:01,0,53.231,0.988,7af60c0b21,ad3d0cc25f
20250701,20250701,15872,G Regular,2025-04-09 00:00:00,33.92041,2025-04-16 12:10:02,0,33.92041,1.13,5860127617,637582e70e
20250701,20250701,15873,G Regular,2025-04-14 00:00:00,7.737,2025-04-21 12:10:02,0,7.737,0.064,9a938afd95,06e27f564f
20250701,20250701,15874,G Regular,2025-02-21 00:00:00,58.974,2025-02-28 12:10:01,0,58.974,0.046,3dcd3239e2,83ae64708f
20250701,20250701,15875,G Regular,2025-04-16 00:00:00,130.631,2025-04-23 12:10:02,0,130.631,40.054,aef48fddb6,7cf5cc2019
20250701,20250701,15876,G Regular,2025-05-01 00:00:00,3.73,2025-05-08 12:10:31,0,3.73,0.51146,e90944ccc2,ac27e8b233
20250701,20250701,15877,G Regular,2025-05-12 00:00:00,9.486,2025-05-19 12:10:01,0,9.486,0.173,4fb94f5f59,2a0054029a
20250701,20250701,15878,G Regular,2025-05-14 00:00:00,0.89514,2025-05-21 12:10:02,0,0.89514,0.11154,13c3a19c48,0af6a53b9b
20250701,20250701,15879,G Regular,2025-02-19 00:00:00,5.05,2025-02-26 12:10:02,0,5.05,0.51146,e90944ccc2,ac27e8b233
20250701,20250701,15880,G Regular,2025-04-26 00:00:00,5.049,2025-05-03 12:10:02,0,5.049,0.173,4fb94f5f59,2a0054029a
20250701,20250701,15881,G90,2025-04-16 00:00:00,0,2025-04-23 12:10:02,0,0,0,4cf95d140f,6c0c0fb3aa
20250701,20250701,15882,G Regular,2025-05-11 00:00:00,7.955,2025-05-18 12:10:02,0,7.955,0.065,9a938afd95,06e27f564f
20250701,20250701,15883,G Regular,2025-04-17 00:00:00,6.653,2025-04-24 12:10:02,0,6.653,0.173,4fb94f5f59,2a0054029a
20250701,20250701,15884,G Regular,2025-02-21 00:00:00,5.3,2025-02-28 12:10:01,0,5.3,0.51146,e90944ccc2,ac27e8b233
20250701,20250701,15885,G Regular,2025-05-10 00:00:00,1.48291,2025-05-17 12:12:28,0,1.48291,0.00795,6ef1e6909e,9fc7ed4647
20250701,20250701,15886,G Regular,2025-02-19 00:00:00,0.758,2025-02-26 12:10:02,0,0.758,0.009,ae79ee44db,1c8735200b
20250701,20250701,15887,G Regular,2025-02-16 00:00:00,40.84656,2025-02-23 12:10:02,0,40.84656,0.40085,88e7fc29c2,55376407d5
20250701,20250701,15888,G Regular,2025-03-05 00:00:00,41.923,2025-03-12 12:10:03,0,41.923,4.6541,98feeeb363,335ac645f3
20250701,20250701,15889,G Regular,2025-03-09 00:00:00,9.997,2025-03-16 12:10:02,0,9.997,0.174,4fb94f5f59,2a0054029a
20250701,20250701,15890,G Regular,2025-03-05 00:00:00,35.38619,2025-03-12 12:10:03,0,35.38619,1.13,5860127617,637582e70e
20250701,20250701,15891,G Regular,2025-03-11 00:00:00,1.031,2025-03-18 12:10:02,0,1.031,0.009,ae79ee44db,1c8735200b
20250701,20250701,15892,G Regular,2025-02-16 00:00:00,27.3151,2025-02-23 12:10:02,0,27.3151,4.6192,98feeeb363,335ac645f3
20250701,20250701,15893,G Regular,2025-02-17 00:00:00,1.62143,2025-02-24 12:10:02,0,1.62143,0.00795,6ef1e6909e,9fc7ed4647
20250701,20250701,15894,G Regular,2025-03-07 00:00:00,1.48291,2025-03-14 12:10:02,0,1.48291,0.00795,6ef1e6909e,9fc7ed4647
20250701,20250701,15895,G Regular,2025-02-16 00:00:00,37.10056,2025-02-23 12:10:02,0,37.10056,1.13,5860127617,637582e70e
20250701,20250701,15896,G Regular,2025-04-02 00:00:00,0,2025-04-09 12:10:01,0,0,0,fa3a46cee7,50e0672639
20250701,20250701,15897,G Regular,2025-03-18 00:00:00,52.874,2025-03-25 12:11:50,0,52.874,0.046,3dcd3239e2,83ae64708f
20250701,20250701,15898,G Regular,2025-04-01 00:00:00,1.01974,2025-04-08 12:10:02,0,1.01974,0.34273,ee780c6e7a,b1d1e1802b
20250701,20250701,15899,G Regular,2025-02-17 00:00:00,6.847,2025-02-24 12:10:02,0,6.847,0.038,2127ae39c1,fdb7133ee2
20250701,20250701,15900,G Regular,2025-03-07 00:00:00,9.484,2025-03-14 12:10:02,0,9.484,0.126,2127ae39c1,fdb7133ee2
20250701,20250701,15901,G Regular,2025-03-09 00:00:00,16.637,2025-03-16 12:10:02,0,16.637,0.047,b7c0f5e3b5,693e66b85d
20250701,20250701,15902,G Regular,2025-03-16 00:00:00,6.48,2025-03-23 12:10:02,0,6.48,0.51146,e90944ccc2,ac27e8b233
20250701,20250701,15903,G Regular,2025-02-22 00:00:00,1.10935,2025-03-01 12:10:01,0,1.10935,0.11154,13c3a19c48,0af6a53b9b
20250701,20250701,15904,G Regular,2025-02-28 00:00:00,1.35309,2025-03-07 12:10:02,0,1.35309,0.11154,13c3a19c48,0af6a53b9b
20250701,20250701,15905,G Regular,2025-03-02 00:00:00,1.08091,2025-03-09 12:10:02,0,1.08091,0.11154,13c3a19c48,0af6a53b9b
20250701,20250701,15906,G Regular,2025-04-28 00:00:00,4.738,2025-05-05 12:10:01,0,4.738,0.173,4fb94f5f59,2a0054029a
