fecha_emision,fecha_corte,id,producto,fe_inventario,cantidad_mb,fe_proceso,cantidad_mb_lim,vlmen_fndo_ttal,ANON_CO_OSINERG,ANON_PTA_ABASTECIMIENTO,cantidad_mb_scaled,cantidad_mb_lim_scaled,vlmen_fndo_ttal_scaled
20250701,20250701,2336,Diesel,2025-06-27 00:00:00,0.02171,2025-06-30 12:10:02,0.02171,0.0,6712a90afd,21f2e15b7a,-0.42311873692304963,-0.42311873692304963,-0.29081375049550345
20250701,20250701,2337,Diesel,2025-06-28 00:00:00,0.20671,2025-06-30 12:10:02,0.20671,0.0,6712a90afd,21f2e15b7a,-0.42120101774233104,-0.42120101774233104,-0.29081375049550345
20250701,20250701,2338,Diesel,2025-06-29 00:00:00,0.20671,2025-06-30 12:10:02,0.20671,0.0,6712a90afd,21f2e15b7a,-0.42120101774233104,-0.42120101774233104,-0.29081375049550345
20250701,20250701,2339,Diesel,2025-06-30 00:00:00,0.06307,2025-06-30 12:10:02,0.06307,0.0,6712a90afd,21f2e15b7a,-0.4226899971105387,-0.4226899971105387,-0.29081375049550345
20250701,20250701,2340,Diesel,2025-06-09 00:00:00,2.55738,2025-06-16 12:10:02,2.55738,0.02002,c9eb29fe21,3c4ef02753,-0.3968338558691437,-0.3968338558691437,-0.28911046399494084
20250701,20250701,2341,Diesel,2025-06-04 00:00:00,1.56274,2025-06-11 12:10:02,1.56274,0.01586,fa3a46cee7,50e0672639,-0.4071443434686567,-0.4071443434686567,-0.2894643936573954
20250701,20250701,2342,Diesel,2025-06-23 00:00:00,2.44312,2025-06-30 12:10:02,2.44312,0.02002,c9eb29fe21,3c4ef02753,-0.398018280699354,-0.398018280699354,-0.28911046399494084
20250701,20250701,2343,Diesel,2025-06-24 00:00:00,1.94903,2025-06-30 12:10:02,1.94903,0.02002,c9eb29fe21,3c4ef02753,-0.4031400421588201,-0.4031400421588201,-0.28911046399494084
20250701,20250701,2344,Diesel,2025-06-25 00:00:00,1.9476,2025-06-30 12:10:02,1.9476,0.02002,c9eb29fe21,3c4ef02753,-0.40315486560978453,-0.40315486560978453,-0.28911046399494084
20250701,20250701,2345,Diesel,2025-06-26 00:00:00,1.90619,2025-06-30 12:10:02,1.90619,0.02002,c9eb29fe21,3c4ef02753,-0.4035841237247767,-0.4035841237247767,-0.28911046399494084
20250701,20250701,2346,Diesel,2025-06-27 00:00:00,1.06623,2025-06-30 12:10:02,1.06623,0.02002,c9eb29fe21,3c4ef02753,-0.41229119076821646,-0.41229119076821646,-0.28911046399494084
20250701,20250701,2347,Diesel,2025-06-28 00:00:00,2.87017,2025-06-30 12:10:02,2.87017,0.02002,c9eb29fe21,3c4ef02753,-0.3935914592067818,-0.3935914592067818,-0.28911046399494084
20250701,20250701,2348,Diesel,2025-06-29 00:00:00,3.43684,2025-06-30 12:10:02,3.43684,0.02002,c9eb29fe21,3c4ef02753,-0.38771732986549656,-0.38771732986549656,-0.28911046399494084
20250701,20250701,2349,Diesel,2025-06-30 00:00:00,3.43684,2025-06-30 12:10:02,3.43684,0.02002,c9eb29fe21,3c4ef02753,-0.38771732986549656,-0.38771732986549656,-0.28911046399494084
20250701,20250701,2350,Diesel,2025-06-09 00:00:00,4.72062,2025-06-16 12:10:02,4.72062,0.01586,fa3a46cee7,50e0672639,-0.37440960267726486,-0.37440960267726486,-0.2894643936573954
20250701,20250701,2351,Diesel,2025-05-22 00:00:00,88.526,2025-05-29 12:10:13,88.526,5.828,7af60c0b21,ad3d0cc25f,0.49432112528709254,0.49432112528709254,0.20502809392402668
20250701,20250701,2352,Diesel,2025-05-24 00:00:00,15.736,2025-05-31 12:10:02,15.736,0.086,2127ae39c1,fdb7133ee2,-0.26022362695346263,-0.26022362695346263,-0.28349693535822146
20250701,20250701,2353,Diesel,2025-06-23 00:00:00,13.10901,2025-06-30 12:10:02,13.10901,2.373,5860127617,637582e70e,-0.28745513565916975,-0.28745513565916975,-0.08892070025398921
